CustomCNN,,,,,,,,,,,,,,
Experiment,Epochs,Loss,Optimizer,learning_rate,weight_decay,momentum,Architecture,Train_Acc,Valid_Acc,Test_Acc,Precision,Recall,F1,ROC_AUC
1,10,CE,Adam,0.01,0,0,23 layers,0.4992,0.5,0.5,0.5,1,0.667,0.5
2,10,BCE,Adam,0.001,0,0,23 layers,0.8617,0.9801,0.9791,0.9677,0.9913,0.9794,0.9791
3,10,CE,SGD,0.0001,0,0.9,23 layers,0.9822,0.9731,0.9699,0.9786,0.9608,0.9696,0.9699
4,10,BCE,SGD,0.0001,0,0.9,27 layers,0.9792,0.9544,0.9564,0.9244,0.994,0.9579,0.9563
5,8,CE,Adam,0.001,0.001,0,27 layers,0.9738,0.9586,0.9594,0.9287,0.9951,0.9608,0.9593
6,8,BCE,SGD,0.0001,0,0.99,27 layers,0.8609,0.9853,0.9857,0.984,0.9875,0.9857,0.9857
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ResNet-50,,,,,,,,,,,,,,
Experiment,Epochs,Loss,Optimizer,learning_rate,weight_decay,momentum,Train_Acc,Valid_Acc,Test_Acc,Precision,Recall,F1,ROC_AUC,
1,5,BCE,Adam,0.001,0,0,0.994,0.9836,0.9831,0.9682,0.999,0.9834,0.9831,
2,5,CE,Adam,0.01,0,0,0.9934,0.993,0.9938,0.9958,0.9917,0.9937,0.9938,
3,5,BCE,SGD,0.001,0,0,0.9609,0.9686,0.9665,0.975,0.9574,0.9661,0.9665,
4,5,BCE,Adam,0.01,0,0,0.9714,0.9637,0.9606,0.9542,0.9677,0.9609,0.9606,
5,5,BCE,Adam,0.001,0.001,0,0.9679,0.875,0.8691,0.983,0.7512,0.8516,0.8691,
6,5,CE,SGD,0.001,0,0.9,0.9991,0.9966,0.996,0.9954,0.9967,0.9961,0.996,
7,5,BCE,SGD,0.0001,0,0.99,0.9988,0.9955,0.9967,0.9971,0.9962,0.9966,0.9967,